"method","K","signal_prop","rho_est","power","fdp","rep"
"ORBIT_P",6,0.05,-0.00126598134524543,0.960552268244576,0.0375494071146245,3
"DPM",7,0.05,NA,0.915187376725838,0.00854700854700855,3
"ORBIT_P",7,0.05,-0.00240046692497062,0.95069033530572,0.0455445544554455,3
"DPM",8,0.05,NA,0.923076923076923,0.00425531914893617,3
"ORBIT_P",8,0.05,-0.00117143940813479,0.96646942800789,0.0503875968992248,3
"DPM",9,0.05,NA,0.95069033530572,0.0020703933747412,3
"ORBIT_P",9,0.05,-0.00138549609814912,0.980276134122288,0.0551330798479087,3
"DPM",10,0.05,NA,0.944773175542406,0.00208333333333333,3
"ORBIT_P",10,0.05,-0.00246054509325843,0.970414201183432,0.0483558994197292,3
"DPM",11,0.05,NA,0.948717948717949,0,3
"ORBIT_P",11,0.05,-0.00147128886061857,0.990138067061144,0.0438095238095238,3
"DPM",12,0.05,NA,0.928994082840237,0,3
"ORBIT_P",12,0.05,-0.00104999966038686,0.980276134122288,0.0423892100192678,3
"DPM",13,0.05,NA,0.95069033530572,0,3
"ORBIT_P",13,0.05,-0.00120813749019414,0.986193293885602,0.0403071017274472,3
"DPM",14,0.05,NA,0.942800788954635,0,3
"ORBIT_P",14,0.05,-0.000186007728721009,0.980276134122288,0.0533333333333333,3
"DPM",15,0.05,NA,0.956607495069034,0,3
